1002
V1,V2,Class
Continuous,Continuous,Nominal
-30.0,-59.25791575894987,0
-29.88,-58.350555065123984,0
-29.759999999999998,-58.44271083012735,0
-29.64,-58.64710621682298,0
-29.52,-57.82177199179584,0
-29.4,-58.886528568548016,0
-29.28,-57.56535188896585,0
-29.16,-57.02061177832951,0
-29.04,-56.38024046701093,0
-28.919999999999998,-55.96373819342121,0
-28.799999999999997,-57.79660174003408,0
-28.68,-57.14310946352906,0
-28.56,-56.36256205449152,0
-28.439999999999998,-57.736787813306464,0
-28.32,-55.84463847658342,0
-28.2,-55.27198598164623,0
-28.08,-55.31852659099041,0
-27.959999999999997,-55.89620498213206,0
-27.839999999999996,-55.72464664730991,0
-27.720000000000002,-56.0107704851768,0
-27.6,-53.36339020199942,0
-27.48,-53.55493510955677,0
-27.36,-53.5243498779524,0
-27.240000000000002,-55.14930400963529,0
-27.12,-53.96424790519034,0
-27.0,-53.40911398823329,0
-26.88,-52.86285871211995,0
-26.76,-52.98762890870505,0
-26.64,-52.5285794571356,0
-26.52,-52.74111768783224,0
-26.4,-50.9814700695143,0
-26.28,-51.30552973211029,0
-26.16,-52.26186220294882,0
-26.04,-50.62757557809646,0
-25.919999999999998,-50.51685617074141,0
-25.8,-50.4944687139602,0
-25.68,-49.776085919596774,0
-25.56,-50.820752230454175,0
-25.439999999999998,-50.09606957992583,0
-25.32,-49.967331547909524,0
-25.2,-50.17310427570431,0
-25.08,-48.85369975248093,0
-24.959999999999997,-49.3352378902206,0
-24.84,-49.62712194051469,0
-24.720000000000002,-48.85531564201197,0
-24.6,-48.00132616865365,0
-24.48,-49.223841279592754,0
-24.360000000000003,-48.10932789920729,0
-24.240000000000002,-47.50943396674929,0
-24.12,-47.88648589845976,0
-24.0,-47.81505383168408,0
-23.880000000000003,-46.36083198224237,0
-23.76,-46.257758831410776,0
-23.64,-46.66194509439784,0
-23.52,-46.91070824732623,0
-23.400000000000002,-45.830995585319215,0
-23.28,-46.093192057686025,0
-23.16,-44.799174810625196,0
-23.04,-45.20204463437035,0
-22.92,-45.8167361392159,0
-22.8,-45.45004329483619,0
-22.68,-44.718918465599145,0
-22.56,-44.654071890594885,0
-22.44,-44.012514864820446,0
-22.32,-44.41701116505351,0
-22.2,-42.50517311064432,0
-22.08,-43.96247639063809,0
-21.96,-43.193882452712764,0
-21.84,-43.48870237529623,0
-21.72,-44.234329521829544,0
-21.599999999999998,-42.43075399905917,0
-21.48,-42.8058071150458,0
-21.36,-41.61422630975216,0
-21.24,-42.54396186584702,0
-21.119999999999997,-41.64130928432367,0
-21.0,-41.40079641792437,0
-20.88,-41.9994921595016,0
-20.759999999999998,-41.119143520377975,0
-20.639999999999997,-41.4001977533046,0
-20.52,-40.97734238574533,0
-20.4,-39.04495274080046,0
-20.279999999999998,-40.44562185140447,0
-20.159999999999997,-40.22248556317447,0
-20.04,-38.860288468529134,0
-19.919999999999998,-39.76884499767984,0
-19.799999999999997,-38.91001365842091,0
-19.679999999999996,-39.245125541279755,0
-19.56,-38.281494898571005,0
-19.44,-38.55778243473267,0
-19.32,-37.014622361868355,0
-19.2,-37.122751670688885,0
-19.080000000000002,-37.53021104338389,0
-18.96,-36.91201686308647,0
-18.84,-37.57595297383282,0
-18.72,-37.045679639877996,0
-18.6,-36.49885592174017,0
-18.48,-36.62420637999782,0
-18.36,-35.98553567323235,0
-18.24,-34.771101017311246,0
-18.12,-36.942610506634274,0
-18.0,-35.57490743892409,0
-17.88,-34.65292902069985,0
-17.759999999999998,-34.98953636355871,0
-17.64,-35.22477140242405,0
-17.52,-34.86882622042937,0
-17.400000000000002,-34.05652504446547,0
-17.28,-33.97403071551787,0
-17.160000000000004,-33.875641279178566,0
-17.040000000000003,-32.819801326970364,0
-16.92,-31.67249188606826,0
-16.8,-33.32936730418952,0
-16.68,-33.117769073551955,0
-16.560000000000002,-32.33327370727712,0
-16.44,-32.04630665047085,0
-16.32,-31.567716122283198,0
-16.200000000000003,-32.74159825518221,0
-16.080000000000002,-30.532265982858124,0
-15.96,-30.59694661584476,0
-15.84,-31.504657208908387,0
-15.72,-30.366601836169185,0
-15.600000000000001,-30.566184887198133,0
-15.48,-29.85660300703328,0
-15.36,-30.51384471289257,0
-15.24,-29.60255329655371,0
-15.120000000000001,-29.12382003878769,0
-15.0,-29.357965617744473,0
-14.879999999999999,-29.008367645128075,0
-14.76,-28.596325187618543,0
-14.64,-28.938661621165245,0
-14.52,-29.147137079628575,0
-14.399999999999999,-28.489116181343707,0
-14.28,-26.800177801244203,0
-14.16,-28.400313361792566,0
-14.04,-26.348639443200003,0
-13.919999999999998,-27.419337066090453,0
-13.799999999999999,-27.364554371113975,0
-13.68,-26.45934758103884,0
-13.559999999999999,-26.807421538182215,0
-13.439999999999998,-26.132545443760293,0
-13.319999999999999,-26.47294258299825,0
-13.2,-24.673290705139646,0
-13.079999999999998,-24.672273002504937,0
-12.959999999999997,-26.377644470140485,0
-12.839999999999998,-24.666206322575178,0
-12.719999999999999,-25.075108229961245,0
-12.600000000000001,-24.562597431649273,0
-12.48,-23.44822206219344,0
-12.360000000000001,-24.37173727042317,0
-12.24,-24.739928136214722,0
-12.120000000000001,-22.72836360064455,0
-12.0,-23.617127669719256,0
-11.88,-22.647421990804755,0
-11.76,-23.148186153695434,0
-11.64,-22.666531701818375,0
-11.52,-22.235177747868164,0
-11.4,-22.84497072666096,0
-11.28,-21.920838718817873,0
-11.16,-21.23978525817665,0
-11.04,-21.350393691061022,0
-10.92,-21.948078014326253,0
-10.799999999999999,-20.9155071917674,0
-10.68,-21.355362946122856,0
-10.559999999999999,-20.15775285541299,0
-10.44,-19.873089346878395,0
-10.319999999999999,-20.430330465937654,0
-10.2,-19.856311860732596,0
-10.079999999999998,-19.99143506409407,0
-9.959999999999999,-19.32289513624235,0
-9.839999999999998,-18.794184207955205,0
-9.719999999999999,-19.30719851554774,0
-9.599999999999998,-17.200539244557618,0
-9.479999999999999,-17.44031725206895,0
-9.359999999999998,-18.41539990889803,0
-9.239999999999998,-17.971063514673688,0
-9.119999999999997,-18.210024032469125,0
-8.999999999999998,-16.969923684410762,0
-8.88,-17.7324850230445,0
-8.760000000000002,-17.35319037379494,0
-8.64,-16.470851018898657,0
-8.520000000000001,-15.6504157179398,0
-8.4,-16.419317493805778,0
-8.280000000000001,-15.658453474677973,0
-8.16,-15.617198610813162,0
-8.040000000000001,-16.06265076534832,0
-7.92,-16.471926939868897,0
-7.800000000000001,-15.186485203981732,0
-7.68,-14.804245382470643,0
-7.5600000000000005,-14.28284684911106,0
-7.4399999999999995,-15.043554673246447,0
-7.32,-13.720847880701298,0
-7.199999999999999,-14.331236290459389,0
-7.08,-14.47394118519191,0
-6.959999999999999,-13.564217183308442,0
