1002
V1,V2,V3,V4,Class
Continuous,Continuous,Continuous,Continuous,Nominal
15.0,-3.0,-5.75,-76.12760781859323,0
14.94,-2.988,-5.727,-75.99904656859852,0
14.879999999999999,-2.976,-5.704,-75.22030163348185,0
14.82,-2.964,-5.681,-76.36446192453013,0
14.76,-2.952,-5.6579999999999995,-74.85181619722569,0
14.7,-2.94,-5.635,-74.80881925329895,0
14.64,-2.928,-5.612,-74.92138817340036,0
14.58,-2.916,-5.5889999999999995,-74.702511995578,0
14.52,-2.904,-5.566,-73.96803641457947,0
14.459999999999999,-2.892,-5.543,-73.4949598229091,0
14.399999999999999,-2.88,-5.52,-73.18437758985375,0
14.34,-2.868,-5.497,-72.21444343385681,0
14.28,-2.856,-5.474,-73.05567607211675,0
14.219999999999999,-2.844,-5.451,-72.44333965947618,0
14.16,-2.832,-5.428,-72.00182856806198,0
14.1,-2.82,-5.404999999999999,-71.64176495786654,0
14.04,-2.808,-5.382,-71.21291815334757,0
13.979999999999999,-2.796,-5.359,-71.21762322886096,0
13.919999999999998,-2.784,-5.335999999999999,-71.14072430865028,0
13.860000000000001,-2.7720000000000002,-5.313000000000001,-70.78042060009243,0
13.8,-2.7600000000000002,-5.29,-69.73582658074777,0
13.74,-2.748,-5.267,-70.0446667801353,0
13.68,-2.736,-5.244,-69.49492935103152,0
13.620000000000001,-2.724,-5.221,-69.49018888588266,0
13.56,-2.712,-5.198,-69.20046322993002,0
13.5,-2.7,-5.175,-68.42178501225493,0
13.44,-2.688,-5.152,-68.19206363872799,0
13.38,-2.676,-5.1290000000000004,-68.17207793500607,0
13.32,-2.664,-5.106,-67.88616387951606,0
13.26,-2.652,-5.083,-67.34631071114256,0
13.2,-2.64,-5.06,-67.11106215675939,0
13.14,-2.628,-5.037,-66.97432470236501,0
13.08,-2.616,-5.014,-66.34398742644922,0
13.02,-2.604,-4.991,-66.56550072874349,0
12.959999999999999,-2.592,-4.968,-65.43462040300055,0
12.9,-2.58,-4.945,-65.45919038575461,0
12.84,-2.568,-4.922,-64.88350777994994,0
12.78,-2.556,-4.899,-65.22070367614796,0
12.719999999999999,-2.544,-4.8759999999999994,-64.6436728024815,0
12.66,-2.532,-4.853,-64.55049819465677,0
12.6,-2.52,-4.83,-63.49772369151729,0
12.54,-2.508,-4.8069999999999995,-63.63345063903289,0
12.479999999999999,-2.496,-4.784,-63.44094117806406,0
12.42,-2.484,-4.761,-63.60177769406817,0
12.360000000000001,-2.4720000000000004,-4.738,-62.500193352854495,0
12.3,-2.46,-4.715000000000001,-62.368431521391074,0
12.24,-2.4480000000000004,-4.692,-62.40001335233804,0
12.180000000000001,-2.436,-4.6690000000000005,-61.485844398663595,0
12.120000000000001,-2.4240000000000004,-4.646,-61.78275225048452,0
12.06,-2.412,-4.623,-61.30744508602901,0
12.0,-2.4000000000000004,-4.6000000000000005,-61.29709014237366,0
11.940000000000001,-2.388,-4.577,-60.23867808194141,0
11.88,-2.3760000000000003,-4.554,-61.28279396763371,0
11.82,-2.364,-4.531000000000001,-60.49729660469053,0
11.76,-2.3520000000000003,-4.508,-59.8342821080982,0
11.700000000000001,-2.34,-4.485,-59.76003503961935,0
11.64,-2.3280000000000003,-4.462,-59.222280767246566,0
11.58,-2.316,-4.439,-58.98707550689466,0
11.52,-2.3040000000000003,-4.416,-58.63019057048728,0
11.46,-2.292,-4.393,-58.311556938351856,0
