512
F1,F2,F3,F4,F5,F6,F7,F8,F9,class
Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal
1,1,1,0,1,0,0,1,1,1
0,1,1,1,0,0,1,1,0,1
0,1,1,1,1,1,1,0,0,1
1,1,1,1,0,1,0,1,0,1
1,0,1,0,1,0,1,1,0,0
0,0,1,1,1,1,1,0,1,1
1,1,0,0,0,1,0,0,1,0
0,1,1,1,0,1,0,1,1,1
1,0,0,1,1,1,1,1,0,1
0,1,1,1,0,1,1,1,0,1
1,1,0,1,0,1,1,1,1,1
1,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,1,0,1,1,1
0,1,1,0,0,0,1,1,0,0
0,1,0,1,0,1,0,1,0,0
0,0,0,0,0,1,1,0,0,0
1,0,1,0,0,1,0,0,1,0
1,0,1,0,1,1,1,0,0,1
1,0,0,1,1,1,1,1,1,1
0,1,1,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,0,0,1
1,0,0,1,0,1,0,1,0,0
0,1,0,1,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,0
1,1,1,0,1,0,1,1,1,1
0,0,0,1,0,1,0,0,0,0
1,1,1,1,0,1,1,1,0,1
0,0,1,0,1,0,1,1,0,0
1,1,0,1,0,0,0,0,1,0
1,1,1,1,1,0,0,1,0,1
0,1,0,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,0
1,1,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,0,1
1,1,0,0,1,0,1,1,0,0
1,0,1,1,0,0,0,1,0,0
0,1,1,0,0,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0
0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,0,0,0,1,0
1,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,0,1,0,1
1,0,1,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0,1,0
1,0,0,0,1,1,0,0,0,0
1,0,1,0,1,0,1,1,1,1
1,0,1,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0
1,1,1,1,0,1,0,0,1,1
0,0,1,0,1,0,1,1,1,1
0,0,0,0,1,1,1,1,0,1
0,1,0,1,0,1,0,1,1,0
0,1,1,1,0,0,1,0,0,1
1,0,1,1,1,0,1,0,1,1
1,1,0,1,1,1,1,0,1,1
1,0,1,1,1,1,1,1,0,1
1,0,0,0,1,1,0,1,0,0
1,0,1,1,0,0,1,1,1,1
1,1,0,0,1,1,0,0,0,0
0,1,0,0,0,0,1,1,1,1
